Player,Team,Year,Round_Number,Round_Pick,Overall_Pick
Mason Plumlee,Brooklyn Nets,2013,1,22,22
Solomon Hill,Indiana Pacers,2013,1,23,23
Tim Hardaway Jr.,New York Knicks,2013,1,24,24
Reggie Bullock,Los Angeles Clippers,2013,1,25,25
Andre Roberson,Minnesota Timberwolves,2013,1,26,26
Rudy Gobert,Denver Nuggets,2013,1,27,27
Livio Jean-Charles,San Antonio Spurs,2013,1,28,28
Archie Goodwin,Oklahoma City Thunder,2013,1,29,29
Nemanja Nedovic,Phoenix Suns,2013,1,30,30
Allen Crabbe,Cleveland Cavaliers,2013,2,1,31
Alex Abrines,Oklahoma City Thunder,2013,2,2,32
Carrick Felix,Cleveland Cavaliers,2013,2,3,33
Isaiah Canaan,Houston Rockets,2013,2,4,34
Glen Rice,Philadelphia 76ers,2013,2,5,35
Ray McCallum,Sacramento Kings,2013,2,6,36
Tony Mitchell,Detroit Pistons,2013,2,7,37
Nate Wolters,Washington Wizards,2013,2,8,38
Jeff Withey,Portland Trail Blazers,2013,2,9,39
Grant Jerrett,Portland Trail Blazers,2013,2,10,40
Jamaal Franklin,Memphis Grizzlies,2013,2,11,41
Pierre Jackson,Philadelphia 76ers,2013,2,12,42
Ricky Ledo,Milwaukee Bucks,2013,2,13,43
Mike Muscala,Dallas Mavericks,2013,2,14,44
Marko Todorovic,Portland Trail Blazers,2013,2,15,45
Erick Green,Utah Jazz,2013,2,16,46
Raul Neto,Atlanta Hawks,2013,2,17,47
Ryan Kelly,Los Angeles Lakers,2013,2,18,48
Erik Murphy,Chicago Bulls,2013,2,19,49
James Ennis III,Atlanta Hawks,2013,2,20,50
Romero Osby,Orlando Magic,2013,2,21,51
Lorenzo Brown,Minnesota Timberwolves,2013,2,22,52
Colton Iverson,Indiana Pacers,2013,2,23,53
Arsalan Kazemi,Washington Wizards,2013,2,24,54
Joffrey Lauvergne,Memphis Grizzlies,2013,2,25,55
Peyton Siva,Detroit Pistons,2013,2,26,56
Alex Oriakhi,Phoenix Suns,2013,2,27,57
Deshaun Thomas,San Antonio Spurs,2013,2,28,58
Bojan Dubljevic,Minnesota Timberwolves,2013,2,29,59
Janis Timma,Memphis Grizzlies,2013,2,30,60
Anthony Davis,New Orleans Hornets,2012,1,1,1
Michael Kidd-Gilchrist,Charlotte Bobcats,2012,1,2,2
Bradley Beal,Washington Wizards,2012,1,3,3
Dion Waiters,Cleveland Cavaliers,2012,1,4,4
Thomas Robinson,Sacramento Kings,2012,1,5,5
Damian Lillard,Portland Trail Blazers,2012,1,6,6
Harrison Barnes,Golden State Warriors,2012,1,7,7
Terrence Ross,Toronto Raptors,2012,1,8,8
Andre Drummond,Detroit Pistons,2012,1,9,9
Austin Rivers,New Orleans Hornets,2012,1,10,10
Meyers Leonard,Portland Trail Blazers,2012,1,11,11
Jeremy Lamb,Houston Rockets,2012,1,12,12
Kendall Marshall,Phoenix Suns,2012,1,13,13
John Henson,Milwaukee Bucks,2012,1,14,14
Maurice Harkless,Philadelphia 76ers,2012,1,15,15
Royce White,Houston Rockets,2012,1,16,16
Tyler Zeller,Dallas Mavericks,2012,1,17,17
Terrence Jones,Houston Rockets,2012,1,18,18
Andrew Nicholson,Orlando Magic,2012,1,19,19
Evan Fournier,Denver Nuggets,2012,1,20,20
Jared Sullinger,Boston Celtics,2012,1,21,21
Fab Melo,Boston Celtics,2012,1,22,22
John Jenkins,Atlanta Hawks,2012,1,23,23
Jared Cunningham,Cleveland Cavaliers,2012,1,24,24
Tony Wroten,Memphis Grizzlies,2012,1,25,25
Miles Plumlee,Indiana Pacers,2012,1,26,26
Arnett Moultrie,Miami Heat,2012,1,27,27
Perry Jones III,Oklahoma City Thunder,2012,1,28,28
Marquis Teague,Chicago Bulls,2012,1,29,29
Festus Ezeli,Golden State Warriors,2012,1,30,30
Jeffery Taylor,Charlotte Bobcats,2012,2,1,31
Tomas Satoransky,Washington Wizards,2012,2,2,32
Bernard James,Cleveland Cavaliers,2012,2,3,33
Jae Crowder,Cleveland Cavaliers,2012,2,4,34
Draymond Green,Golden State Warriors,2012,2,5,35
Orlando Johnson,Sacramento Kings,2012,2,6,36
Quincy Acy,Toronto Raptors,2012,2,7,37
Quincy Miller,Denver Nuggets,2012,2,8,38
Khris Middleton,Detroit Pistons,2012,2,9,39
Will Barton,Portland Trail Blazers,2012,2,10,40
Tyshawn Taylor,Portland Trail Blazers,2012,2,11,41
Doron Lamb,Milwaukee Bucks,2012,2,12,42
Mike Scott,Atlanta Hawks,2012,2,13,43
Kim English,Detroit Pistons,2012,2,14,44
Justin Hamilton,Philadelphia 76ers,2012,2,15,45
Darius Miller,New Orleans Hornets,2012,2,16,46
Kevin Murphy,Utah Jazz,2012,2,17,47
Kostas Papanikolaou,New York Knicks,2012,2,18,48
Kyle O'Quinn,Orlando Magic,2012,2,19,49
Izzet Turkyilmaz,Denver Nuggets,2012,2,20,50
Kris Joseph,Boston Celtics,2012,2,21,51
Ognjen Kuzmic,Golden State Warriors,2012,2,22,52
Furkan Aldemir,Los Angeles Clippers,2012,2,23,53
Tornike Shengelia,Philadelphia 76ers,2012,2,24,54
Darius Johnson-Odom,Dallas Mavericks,2012,2,25,55
Tomislav Zubcic,Toronto Raptors,2012,2,26,56
Ilkan Karaman,Brooklyn Nets,2012,2,27,57
Robbie Hummel,Minnesota Timberwolves,2012,2,28,58
Marcus Denmon,San Antonio Spurs,2012,2,29,59
Robert Sacre,Los Angeles Lakers,2012,2,30,60
Kyrie Irving,Cleveland Cavaliers,2011,1,1,1
Derrick Williams,Minnesota Timberwolves,2011,1,2,2
Enes Kanter,Utah Jazz,2011,1,3,3
Tristan Thompson,Cleveland Cavaliers,2011,1,4,4
Jonas Valanciunas,Toronto Raptors,2011,1,5,5
Jan Vesely,Washington Wizards,2011,1,6,6
Bismack Biyombo,Sacramento Kings,2011,1,7,7
Brandon Knight,Detroit Pistons,2011,1,8,8
Kemba Walker,Charlotte Bobcats,2011,1,9,9
Jimmer Fredette,Milwaukee Bucks,2011,1,10,10
Klay Thompson,Golden State Warriors,2011,1,11,11
Alec Burks,Utah Jazz,2011,1,12,12
Markieff Morris,Phoenix Suns,2011,1,13,13
Marcus Morris Sr.,Houston Rockets,2011,1,14,14
Kawhi Leonard,Indiana Pacers,2011,1,15,15
Nikola Vucevic,Philadelphia 76ers,2011,1,16,16
Iman Shumpert,New York Knicks,2011,1,17,17
Chris Singleton,Washington Wizards,2011,1,18,18
Tobias Harris,Charlotte Bobcats,2011,1,19,19
Donatas Motiejunas,Minnesota Timberwolves,2011,1,20,20
Nolan Smith,Portland Trail Blazers,2011,1,21,21
Kenneth Faried,Denver Nuggets,2011,1,22,22
Nikola Mirotic,Houston Rockets,2011,1,23,23
Reggie Jackson,Oklahoma City Thunder,2011,1,24,24
MarShon Brooks,Boston Celtics,2011,1,25,25
Jordan Hamilton,Dallas Mavericks,2011,1,26,26
JaJuan Johnson,New Jersey Nets,2011,1,27,27
Norris Cole,Chicago Bulls,2011,1,28,28
Cory Joseph,San Antonio Spurs,2011,1,29,29
Jimmy Butler,Chicago Bulls,2011,1,30,30
Bojan Bogdanovic,Miami Heat,2011,2,1,31
Justin Harper,Cleveland Cavaliers,2011,2,2,32
Kyle Singler,Detroit Pistons,2011,2,3,33
Shelvin Mack,Washington Wizards,2011,2,4,34
Tyler Honeycutt,Sacramento Kings,2011,2,5,35
Jordan Williams,New Jersey Nets,2011,2,6,36
Trey Thompkins,Los Angeles Clippers,2011,2,7,37
Chandler Parsons,Houston Rockets,2011,2,8,38
Jeremy Tyler,Charlotte Bobcats,2011,2,9,39
Jon Leuer,Milwaukee Bucks,2011,2,10,40
Darius Morris,Los Angeles Lakers,2011,2,11,41
Davis Bertans,Indiana Pacers,2011,2,12,42
Malcolm Lee,Chicago Bulls,2011,2,13,43
Charles Jenkins,Golden State Warriors,2011,2,14,44
Josh Harrellson,New Orleans Hornets,2011,2,15,45
Andrew Goudelock,Los Angeles Lakers,2011,2,16,46
Travis Leslie,Los Angeles Clippers,2011,2,17,47
Keith Benson,Atlanta Hawks,2011,2,18,48
Josh Selby,Memphis Grizzlies,2011,2,19,49
Lavoy Allen,Philadelphia 76ers,2011,2,20,50
Jon Diebler,Portland Trail Blazers,2011,2,21,51
Vernon Macklin,Detroit Pistons,2011,2,22,52
DeAndre Liggins,Orlando Magic,2011,2,23,53
MIlan Macvan,Cleveland Cavaliers,2011,2,24,54
E'Twaun Moore,Boston Celtics,2011,2,25,55
Chukwudiebere Maduabum,Los Angeles Lakers,2011,2,26,56
Tanguy Ngombo,Dallas Mavericks,2011,2,27,57
Ater Majok,Los Angeles Lakers,2011,2,28,58
Adam Hanga,San Antonio Spurs,2011,2,29,59
Isaiah Thomas,Sacramento Kings,2011,2,30,60
John Wall,Washington Wizards,2010,1,1,1
Evan Turner,Philadelphia 76ers,2010,1,2,2
Derrick Favors,New Jersey Nets,2010,1,3,3
Wesley Johnson,Minnesota Timberwolves,2010,1,4,4
DeMarcus Cousins,Sacramento Kings,2010,1,5,5
Ekpe Udoh,Golden State Warriors,2010,1,6,6
Greg Monroe,Detroit Pistons,2010,1,7,7
Al-Farouq Aminu,Los Angeles Clippers,2010,1,8,8
Gordon Hayward,Utah Jazz,2010,1,9,9
Paul George,Indiana Pacers,2010,1,10,10
Cole Aldrich,New Orleans Hornets,2010,1,11,11
Xavier Henry,Memphis Grizzlies,2010,1,12,12
Ed Davis,Toronto Raptors,2010,1,13,13
Patrick Patterson,Houston Rockets,2010,1,14,14
Larry Sanders,Milwaukee Bucks,2010,1,15,15
Luke Babbitt,Minnesota Timberwolves,2010,1,16,16
Kevin Seraphin,Chicago Bulls,2010,1,17,17
Eric Bledsoe,Oklahoma City Thunder,2010,1,18,18
Avery Bradley,Boston Celtics,2010,1,19,19
James Anderson,San Antonio Spurs,2010,1,20,20
Craig Brackins,Oklahoma City Thunder,2010,1,21,21
Elliot Williams,Portland Trail Blazers,2010,1,22,22
Trevor Booker,Minnesota Timberwolves,2010,1,23,23
Damion James,Atlanta Hawks,2010,1,24,24
Dominique Jones,Memphis Grizzlies,2010,1,25,25
Quincy Pondexter,Oklahoma City Thunder,2010,1,26,26
Jordan Crawford,New Jersey Nets,2010,1,27,27
Greivis Vasquez,Memphis Grizzlies,2010,1,28,28
Daniel Orton,Orlando Magic,2010,1,29,29
Lazar Hayward,Washington Wizards,2010,1,30,30
Tibor Pleiss,New Jersey Nets,2010,2,1,31
Dexter Pittman,Miami Heat,2010,2,2,32
Hassan Whiteside,Sacramento Kings,2010,2,3,33
Armon Johnson,Portland Trail Blazers,2010,2,4,34
Nemanja Bjelica,Washington Wizards,2010,2,5,35
Terrico White,Detroit Pistons,2010,2,6,36
Darington Hobson,Milwaukee Bucks,2010,2,7,37
Andy Rautins,New York Knicks,2010,2,8,38
Landry Fields,New York Knicks,2010,2,9,39
Lance Stephenson,Indiana Pacers,2010,2,10,40
Jarvis Varnado,Miami Heat,2010,2,11,41
Da'Sean Butler,Miami Heat,2010,2,12,42
Devin Ebanks,Los Angeles Lakers,2010,2,13,43
Jerome Jordan,Milwaukee Bucks,2010,2,14,44
Paulao Prestes,Minnesota Timberwolves,2010,2,15,45
Gani Lawal,Phoenix Suns,2010,2,16,46
Tiny Gallon,Milwaukee Bucks,2010,2,17,47
Latavious Williams,Miami Heat,2010,2,18,48
Ryan Richards,San Antonio Spurs,2010,2,19,49
Solomon Alabi,Dallas Mavericks,2010,2,20,50
Magnum Rolle,Oklahoma City Thunder,2010,2,21,51
Luke Harangody,Boston Celtics,2010,2,22,52
Pape Sy,Atlanta Hawks,2010,2,23,53
Willie Warren,Los Angeles Clippers,2010,2,24,54
Jeremy Evans,Utah Jazz,2010,2,25,55
Hamady Ndiaye,Minnesota Timberwolves,2010,2,26,56
Ryan Reid,Indiana Pacers,2010,2,27,57
Derrick Caracter,Los Angeles Lakers,2010,2,28,58
Stanley Robinson,Orlando Magic,2010,2,29,59
Dwayne Collins,Phoenix Suns,2010,2,30,60
Blake Griffin,Los Angeles Clippers,2009,1,1,1
Hasheem Thabeet,Memphis Grizzlies,2009,1,2,2
James Harden,Oklahoma City Thunder,2009,1,3,3
Tyreke Evans,Sacramento Kings,2009,1,4,4
Ricky Rubio,Minnesota Timberwolves,2009,1,5,5
Jonny Flynn,Minnesota Timberwolves,2009,1,6,6
Stephen Curry,Golden State Warriors,2009,1,7,7
Jordan Hill,New York Knicks,2009,1,8,8
DeMar DeRozan,Toronto Raptors,2009,1,9,9
Brandon Jennings,Milwaukee Bucks,2009,1,10,10
Terrence Williams,New Jersey Nets,2009,1,11,11
Gerald Henderson,Charlotte Bobcats,2009,1,12,12
Tyler Hansbrough,Indiana Pacers,2009,1,13,13
Earl Clark,Phoenix Suns,2009,1,14,14
Austin Daye,Detroit Pistons,2009,1,15,15
James Johnson,Chicago Bulls,2009,1,16,16
Jrue Holiday,Philadelphia 76ers,2009,1,17,17
Ty Lawson,Minnesota Timberwolves,2009,1,18,18
Jeff Teague,Atlanta Hawks,2009,1,19,19
Eric Maynor,Utah Jazz,2009,1,20,20
Darren Collison,New Orleans Hornets,2009,1,21,21
Victor Claver,Portland Trail Blazers,2009,1,22,22
Omri Casspi,Sacramento Kings,2009,1,23,23
Byron Mullens,Dallas Mavericks,2009,1,24,24
Rodrigue Beaubois,Oklahoma City Thunder,2009,1,25,25
Taj Gibson,Chicago Bulls,2009,1,26,26
DeMarre Carroll,Memphis Grizzlies,2009,1,27,27
Wayne Ellington,Minnesota Timberwolves,2009,1,28,28
Toney Douglas,Los Angeles Lakers,2009,1,29,29
Christian Eyenga,Cleveland Cavaliers,2009,1,30,30
Jeff Ayres,Sacramento Kings,2009,2,1,31
Jermaine Taylor,Washington Wizards,2009,2,2,32
Dante Cunningham,Portland Trail Blazers,2009,2,3,33
Sergio Llull,Denver Nuggets,2009,2,4,34
DaJuan Summers,Detroit Pistons,2009,2,5,35
Sam Young,Memphis Grizzlies,2009,2,6,36
DeJuan Blair,San Antonio Spurs,2009,2,7,37
Jon Brockman,Portland Trail Blazers,2009,2,8,38
Jonas Jerebko,Detroit Pistons,2009,2,9,39
Derrick Brown,Charlotte Bobcats,2009,2,10,40
Jodie Meeks,Milwaukee Bucks,2009,2,11,41
Patrick Beverley,Los Angeles Lakers,2009,2,12,42
Marcus Thornton,Miami Heat,2009,2,13,43
Chase Budinger,Detroit Pistons,2009,2,14,44
Nick Calathes,Minnesota Timberwolves,2009,2,15,45
Danny Green,Cleveland Cavaliers,2009,2,16,46
Henk Norel,Minnesota Timberwolves,2009,2,17,47
Taylor Griffin,Phoenix Suns,2009,2,18,48
Sergiy Gladyr,Atlanta Hawks,2009,2,19,49
Goran Suton,Utah Jazz,2009,2,20,50
Jack McClinton,San Antonio Spurs,2009,2,21,51
AJ Price,Indiana Pacers,2009,2,22,52
Nando De Colo,San Antonio Spurs,2009,2,23,53
Robert Vaden,Charlotte Bobcats,2009,2,24,54
Patty Mills,Portland Trail Blazers,2009,2,25,55
Ahmad Nivins,Dallas Mavericks,2009,2,26,56
Emir Preldzic,Phoenix Suns,2009,2,27,57
Lester Hudson,Boston Celtics,2009,2,28,58
Chinemelu Elonu,Los Angeles Lakers,2009,2,29,59
Robert Dozier,Miami Heat,2009,2,30,60
