id,Player,pid,team_id,Year,Round_Number,Round_Pick,Overall_Pick
660,Isaiah Thomas,8712,8,2011,2,30,60
661,John Wall,12637,13,2010,1,1,1
662,Evan Turner,1929,21,2010,1,2,2
663,Derrick Favors,10724,33,2010,1,3,3
664,Wesley Johnson,35730,27,2010,1,4,4
665,DeMarcus Cousins,13656,8,2010,1,5,5
666,Ekpe Udoh,2610,7,2010,1,6,6
667,Greg Monroe,5531,1,2010,1,7,7
668,Al-Farouq Aminu,5612,18,2010,1,8,8
669,Gordon Hayward,6696,23,2010,1,9,9
670,Paul George,5903,12,2010,1,10,10
671,Cole Aldrich,763,32,2010,1,11,11
672,Xavier Henry,10527,14,2010,1,12,12
673,Ed Davis,6808,4,2010,1,13,13
674,Patrick Patterson,3715,2,2010,1,14,14
675,Larry Sanders,3246,24,2010,1,15,15
676,Luke Babbitt,6121,27,2010,1,16,16
677,Kevin Seraphin,0,25,2010,1,17,17
678,Eric Bledsoe,12621,6,2010,1,18,18
679,Avery Bradley,12555,26,2010,1,19,19
680,James Anderson,2812,11,2010,1,20,20
681,Craig Brackins,3689,6,2010,1,21,21
682,Elliot Williams,11987,28,2010,1,22,22
683,Trevor Booker,2429,27,2010,1,23,23
684,Damion James,825,16,2010,1,24,24
685,Dominique Jones,2231,14,2010,1,25,25
686,Quincy Pondexter,3829,6,2010,1,26,26
687,Jordan Crawford,1345,33,2010,1,27,27
688,Greivis Vasquez,465,14,2010,1,28,28
689,Daniel Orton,12620,5,2010,1,29,29
690,Lazar Hayward,1257,13,2010,1,30,30
691,Tibor Pleiss,0,33,2010,2,1,31
692,Dexter Pittman,827,30,2010,2,2,32
693,Hassan Whiteside,11351,8,2010,2,3,33
694,Armon Johnson,4048,28,2010,2,4,34
695,Nemanja Bjelica,0,13,2010,2,5,35
696,Terrico White,5069,1,2010,2,6,36
697,Darington Hobson,11344,24,2010,2,7,37
698,Andy Rautins,10094,15,2010,2,8,38
699,Landry Fields,1416,15,2010,2,9,39
700,Lance Stephenson,13349,12,2010,2,10,40
701,Jarvis Varnado,3685,30,2010,2,11,41
702,Da'Sean Butler,3069,30,2010,2,12,42
703,Devin Ebanks,9704,17,2010,2,13,43
704,Jerome Jordan,11309,24,2010,2,14,44
705,Paulao Prestes,0,27,2010,2,15,45
706,Gani Lawal,3459,22,2010,2,16,46
707,Tiny Gallon,11036,24,2010,2,17,47
708,Latavious Williams,0,30,2010,2,18,48
709,Ryan Richards,0,11,2010,2,19,49
710,Solomon Alabi,1924,29,2010,2,20,50
711,Magnum Rolle,4861,6,2010,2,21,51
712,Luke Harangody,3225,26,2010,2,22,52
713,Pape Sy,0,16,2010,2,23,53
714,Willie Warren,7409,18,2010,2,24,54
715,Jeremy Evans,331,23,2010,2,25,55
716,Hamady Ndiaye,13308,27,2010,2,26,56
717,Ryan Reid,193,12,2010,2,27,57
718,Derrick Caracter,359,17,2010,2,28,58
719,Stanley Robinson,1137,5,2010,2,29,59
720,Dwayne Collins,2387,22,2010,2,30,60
721,Blake Griffin,2804,18,2009,1,1,1
722,Hasheem Thabeet,2709,14,2009,1,2,2
723,James Harden,3638,6,2009,1,3,3
724,Tyreke Evans,9524,8,2009,1,4,4
725,Ricky Rubio,0,27,2009,1,5,5
726,Jonny Flynn,2115,27,2009,1,6,6
727,Stephen Curry,1827,7,2009,1,7,7
728,Jordan Hill,215,15,2009,1,8,8
729,DeMar DeRozan,5417,4,2009,1,9,9
730,Brandon Jennings,0,24,2009,1,10,10
731,Terrence Williams,2178,33,2009,1,11,11
732,Gerald Henderson,2016,31,2009,1,12,12
733,Tyler Hansbrough,895,12,2009,1,13,13
734,Earl Clark,365,22,2009,1,14,14
735,Austin Daye,2742,1,2009,1,15,15
736,James Johnson,1634,25,2009,1,16,16
737,Jrue Holiday,5415,21,2009,1,17,17
738,Ty Lawson,2335,27,2009,1,18,18
739,Jeff Teague,1633,16,2009,1,19,19
740,Eric Maynor,295,23,2009,1,20,20
741,Darren Collison,2332,32,2009,1,21,21
742,Victor Claver,0,28,2009,1,22,22
743,Omri Casspi,0,8,2009,1,23,23
744,Byron Mullens,50000,29,2009,1,24,24
745,Rodrigue Beaubois,0,6,2009,1,25,25
746,Taj Gibson,1132,25,2009,1,26,26
747,DeMarre Carroll,2446,14,2009,1,27,27
748,Wayne Ellington,2343,27,2009,1,28,28
749,Toney Douglas,3607,17,2009,1,29,29
750,Christian Eyenga,0,3,2009,1,30,30
751,Jeff Ayres,49752,8,2009,2,1,31
752,Jermaine Taylor,495,13,2009,2,2,32
753,Dante Cunningham,448,28,2009,2,3,33
754,Sergio Llull,0,19,2009,2,4,34
755,DaJuan Summers,1575,1,2009,2,5,35
756,Sam Young,2503,14,2009,2,6,36
757,DeJuan Blair,1313,11,2009,2,7,37
758,Jon Brockman,2266,28,2009,2,8,38
759,Jonas Jerebko,0,1,2009,2,9,39
760,Derrick Brown,709,31,2009,2,10,40
761,Jodie Meeks,3812,24,2009,2,11,41
762,Patrick Beverley,0,17,2009,2,12,42
763,Marcus Thornton,3395,30,2009,2,13,43
764,Chase Budinger,217,1,2009,2,14,44
765,Nick Calathes,3427,27,2009,2,15,45
766,Danny Green,900,3,2009,2,16,46
767,Henk Norel,0,27,2009,2,17,47
768,Taylor Griffin,3787,22,2009,2,18,48
769,Sergiy Gladyr,0,16,2009,2,19,49
770,Goran Suton,603,23,2009,2,20,50
771,Jack McClinton,1188,11,2009,2,21,51
772,AJ Price,0,12,2009,2,22,52
773,Nando De Colo,0,11,2009,2,23,53
774,Robert Vaden,2073,31,2009,2,24,54
775,Patty Mills,49733,28,2009,2,25,55
776,Ahmad Nivins,3344,29,2009,2,26,56
777,Emir Preldzic,0,22,2009,2,27,57
778,Lester Hudson,1026,26,2009,2,28,58
779,Chinemelu Elonu,1103,17,2009,2,29,59
780,Robert Dozier,2746,30,2009,2,30,60
